categorie,texte,medicament1,medicament2,astuce,cat_base,texte_proc
aretin-kibo,Misy gastrite be aho hatramin'ny herinandro,Ranitidine 150 mg : 2x/andro (maraina-hariva),Antiacide : raha ilaina rehefa manaintaina,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,misy gastrite be aho hatramin'ny herinandro
aretin-tsaina,Misy depression mafy aho mandritra ny andro manontolo,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Valériane : 1x/andro (hariva),Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,misy depression mafy aho mandritra ny andro manontolo
aretin-pivalanana,Misy intoxication alimentaire aho hatramin ny omaly,ORS (Sels de réhydratation orale) : misotroa betsaka,Charbon activé : 2 comprimés 3x/andro,Mihinana vary fotsy sy akondro ary misotroa rano betsaka,aretin-pivalanana,misy intoxication alimentaire aho hatramin ny omaly
fiakaran-ny-tosi-dra,Inona no atao raha hypertension sy migraine no misy ahy?,Losartan 50 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Aza mihinana sakafo misy sira be,fiakaran-ny-tosi-dra,inona no atao raha hypertension sy migraine no misy ahy tsindry tosi-dra
tazomoka,Inona no atao raha voan ny tazomoka ary very hery be aho efa 6 andro lasa izay?,Artéméther injection : araka ny dokotera,Vitamine C 500 mg : 1x/andro,Matoria ao anatin ny mostikera,tazomoka,inona no atao raha voan ny tazomoka ary very hery be aho efa andro lasa izay tazo avy amin ny kaikitry ny moka
diabeta,Misy diabeta aho ary misy fanaintainana be ny tongotro hatramin'ny 9 ora,Insuline : araka ny torohevitry ny dokotera,Vitamine B12 : 1x/andro (maraina),Mihinana sakafo manankarena fibre ary aza mihinana siramamy be,diabeta,misy diabeta aho ary misy fanaintainana be ny tongotro hatramin'ny ora fiakaran ny siramamy fidinan ny siramamy marary manaintaina mangirifiry tongotra lohalika ratsan-tongotra
tazo,Tsy afaka mitsangana aho noho ny tazo hatramin'ny maraina,Paracétamol 500 mg : isaky ny 8 ora mandritra ny 5 andro,Vitamine C 1000 mg : 1x/andro (maraina),Miala sasatra tsara ary misotroa rano mafana,tazo,tsy afaka mitsangana aho noho ny tazo hatramin'ny maraina manavy mafana mamay
tazomoka,Voan ny tazomoka aho ary marary ny kiboko hatramin'ny herinandro misy fanafody ve?,Artéméther injection : araka ny dokotera,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria ao anatin ny mostikera ary mampiasa repulsif,tazomoka,voan ny tazomoka aho ary marary ny kiboko hatramin'ny herinandro misy fanafody ve tazo avy amin ny kaikitry ny moka manaintaina mangirifiry fanaintainana kibo kibony
kohaka,Nikohaka foana aho nandritra ny herinandro izay hatramin ny omaly,Ambroxol sirop : 3x/andro mandritra ny 5 andro,Cetirizine 10 mg : 1x/andro (hariva),Misotroa rano mafana misy tantely sy voasarimakirana ary sakamalao,kohaka,nikohaka foana aho nandritra ny herinandro izay hatramin ny omaly
fiakaran-ny-tosi-dra,Ambony be ny tosi-drako hatramin'ny herinandro,Amlodipine 5 mg : 1x/andro (maraina) tsy tapaka,Atorvastatine 10 mg : 1x/andro (hariva),Ahenao ny sira amin ny sakafo ary manaova fanatanjahan-tena maivana,fiakaran-ny-tosi-dra,ambony be ny tosi-drako tosi drako hatramin'ny herinandro
kohaka,Mikohaka mando sy misy rano ny oronako,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Cetirizine 10 mg : 1x/andro (hariva),Aza mivoaka amin ny hatsiaka ary misotroa rano mafana,kohaka,mikohaka mando sy misy rano ny oronako kohaka
aretim-po,Inona no atao raha foko mafy ary misy vertiges mandritra ny 2 andro?,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Nitroglycérine spray : raha ilaina rehefa mafy,Manao fitiliana ny foko matetika,aretim-po,inona no atao raha foko mafy ary misy vertiges mandritra ny andro fo
aretin-tratra,Tsy afaka ny miaina aho hatramin'ny maraina,Amoxicilline-Acide Clavulanique 875 mg : 2x/andro mandritra ny 7 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Matoria tsara ary aza mivoaka amin ny rivotra mangatsiaka,aretin-tratra,tsy afaka ny miaina aho hatramin'ny maraina
aretin-tanana,Misy fanaintainana amin ny poignetko hatramin'ny alina,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tanana,misy fanaintainana amin ny poignetko hatramin'ny alina marary manaintaina mangirifiry
aretin-tratra,Misy kohaka sy tratrako ary marary mafy aho efa 6 andro lasa izay,Amoxicilline-Acide Clavulanique 875 mg : 2x/andro mandritra ny 7 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Matoria tsara ary aza mivoaka amin ny rivotra mangatsiaka,aretin-tratra,misy kohaka sy tratrako ary marary mafy aho efa andro lasa izay mikohaka tratra manaintaina mangirifiry fanaintainana
kohaka,Mikohaka aho ary reraka hatramin'ny herinandro,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : raha ilaina,Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,mikohaka aho ary reraka hatramin'ny herinandro kohaka
areti-maso,Misy aretin-maso mafy aho mandritra ny andro manontolo,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Aza mampiasa makiazy mandritra ny fitsaboana ary diovy foana ny tanana,areti-maso,misy aretin-maso aretin maso mafy aho mandritra ny andro manontolo masoko masony
tazo,Tazo mahery no mahazo ahy hatramin'ny maraina,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Misotroa rano betsaka 3L isan andro ary matoria tsara,tazo,tazo mahery no mahazo ahy hatramin'ny maraina manavy mafana mamay
diabeta,Misy diabeta ary marary be ny masoko hatramin'ny herinandro,Glibenclamide : 1x/andro (maraina) alohan ny sakafo,Acide folique : 1x/andro (maraina),Manao fanatanjahan-tena 30 minitra isan andro ary mivatsy vatomamy,diabeta,misy diabeta ary marary be ny masoko hatramin'ny herinandro fiakaran ny siramamy fidinan ny siramamy manaintaina mangirifiry fanaintainana maso masony
aretin-kibo,Misy fanaintainana kiboko sy mandrevo hatramin'ny maraina,Oméprazole 20 mg : 1x/andro (maraina) mandritra ny 6 herinandro,Smecta : 3x/andro raha misy alahelo,Aza mihinana sakafo mamay be na misy menaka betsaka,aretin-kibo,misy fanaintainana kiboko sy mandrevo hatramin'ny maraina marary manaintaina mangirifiry kibo kibony mivalanana mivalan-tay
aretin-kibo,Misy gastrite be aho efa 6 andro lasa izay inona ny tokony hatao?,Oméprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,misy gastrite be aho efa andro lasa izay inona ny tokony hatao
aretin-tanana,Manaintaina ny tanako efa 6 andro lasa izay,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Asio ranomandry rehefa mivonto ny tanana,aretin-tanana,manaintaina ny tanako efa andro lasa izay marary mangirifiry fanaintainana
aretin-pivalanana,Inona no atao raha mandrevo aho ary misy ranon-drano be hatramin'ny maraina?,ORS : misotroa isaky ny mandrevo,Smecta : 3 sachets isan andro,Mihinana sakafo malefaka ary aza mihinana sakafo mafana be na mangatsiaka be loatra,aretin-pivalanana,inona no atao raha mandrevo aho ary misy ranon-drano ranon drano be hatramin'ny maraina mivalanana mivalan-tay
fiakaran-ny-tosi-dra,Hypertension ary tsy mahazo aina tsara hatramin'ny maraina,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Aza mihinana sakafo misy sira be,fiakaran-ny-tosi-dra,hypertension ary tsy mahazo aina tsara hatramin'ny maraina tsindry tosi-dra
diabeta,Mitebiteby be aho ary misy siramamy be ny vatako hatramin'ny 9 ora,Insuline : araka ny torohevitry ny dokotera,Vitamine B12 : 1x/andro (maraina),Manao fitiliana ny siramamy ao amin ny ra matetika ary mila manao kajy tsara rehefa mihinana sakafo,diabeta,mitebiteby be aho ary misy siramamy be ny vatako hatramin'ny ora
fiakaran-ny-tosi-dra,Inona no atao raha misy hypertension ary marary ny tratra hatramin'ny alina?,Lisinopril 10 mg : 1x/andro (maraina),Aspirine 75 mg : 1x/andro (maraina),Aza mihinana sakafo misy graise be ary manaova dieta,fiakaran-ny-tosi-dra,inona no atao raha misy hypertension ary marary ny tratra hatramin'ny alina tsindry tosi-dra manaintaina mangirifiry fanaintainana tratrako
aretin-tanana,Tanana mivonto ary mena hatramin'ny 9 ora,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Vitamines B : 1x/andro (maraina),Asio ranomandry rehefa mivonto ny tanana,aretin-tanana,tanana mivonto ary mena hatramin'ny ora tananako ankihibe ratsan-tanana
diabeta,Misy siramamy be ny vatako ary mitebiteby foana aho noho izany hatramin'ny maraina,Metformine 850 mg : 2x/andro (maraina-hariva),Vitamine B12 : 1x/andro (maraina),Mihinana sakafo manankarena fibre ary aza mihinana siramamy be,diabeta,misy siramamy be ny vatako ary mitebiteby foana aho noho izany hatramin'ny maraina
aretin-doha,Mangorangoraka ny lohako ary manefotefo mafy efa 6 andro lasa izay,Aspirine 500 mg : 2x/andro mandritra ny 3 andro,Métoclopramide : 3x/andro raha misy alahelo,Mila miala sasatra tsara ary aza mihinana sakafo mafana be,aretin-doha,mangorangoraka ny lohako ary manefotefo mafy efa andro lasa izay loha lohany
aretin-tsaina,Mitebiteby aho ary mangorakoraka ny foko hatramin'ny herinandro inona ny tokony hatao?,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Anxiolytique : raha ilaina,Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,mitebiteby aho ary mangorakoraka ny foko hatramin'ny herinandro inona ny tokony hatao fo
aretin-tenda,Marary ny tendako nandritra ny 3 andro izay mandritra ny andro manontolo,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,marary ny tendako nandritra ny andro izay mandritra ny andro manontolo manaintaina mangirifiry fanaintainana tenda tendany marary tenda
aretin-tsaina,Mitebiteby aho ary mangorakoraka ny foko hatramin'ny maraina,Sertraline : 1x/andro (maraina) mandritra ny 3 volana,Valériane : 1x/andro (hariva),Miresaka amin ny olona matoky ary mitady fanampiana,aretin-tsaina,mitebiteby aho ary mangorakoraka ny foko hatramin'ny maraina fo
tazomoka,Voan ny tazomoka aho 40 degre ny mari panako ary mangovitra be aho hatramin'ny herinandro,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Matoria ao anatin ny mostikera,tazomoka,voan ny tazomoka aho 40 degre ny mari panako ary mangovitra be aho hatramin'ny herinandro tazo avy amin ny kaikitry ny moka
fiakaran-ny-tosi-dra,Misy hypertension ary marary ny tratra efa 6 andro lasa izay,Losartan 50 mg : 1x/andro (maraina) tsy tapaka,Hydrochlorothiazide 12.5 mg : 1x/andro (maraina),Aza mihinana sakafo misy graise be ary manaova dieta,fiakaran-ny-tosi-dra,misy hypertension ary marary ny tratra efa andro lasa izay tsindry tosi-dra manaintaina mangirifiry fanaintainana tratrako
areti-maso,Tsy mahita tsara aho hatramin'ny herinandro,Collyre antiseptique : 3x/andro mandritra ny 5 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Aza mampifanojo ny maso amin ny jiro diso mazava loatra,areti-maso,tsy mahita tsara aho hatramin'ny herinandro
aretin-doha,Inona no atao raha misy tsindry eo amin ny lohako hatramin'ny alina?,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Manaova fanatanjahan-tena maivana ary misotroa rano betsaka,aretin-doha,inona no atao raha misy tsindry eo amin ny lohako hatramin'ny alina tosi-dra hypertension loha lohany
tazo,Mafana be ny vatako 39 degre hatramin'ny 9 ora,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Paracétamol 500 mg : raha ilaina,Asio lamba mando eo amin ny handrina ary misotroa rano,tazo,mafana be ny vatako 39 degre hatramin'ny ora tazo manavy mamay
aretin-kibo,Marary ny kiboko ary manotika hatramin'ny alina,Ranitidine 150 mg : 2x/andro (maraina-hariva),Smecta : 3x/andro raha misy alahelo,Mampihena ny adin-tsaina ary manaova fanatanjahan-tena maivana,aretin-kibo,marary ny kiboko ary manotika hatramin'ny alina manaintaina mangirifiry fanaintainana kibo kibony
aretin-tongotra,Manaintaina ny tongotro ary sarotra amiko ny mandeha mandritra ny 2 andro,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Gel anti-inflammatoire (Voltaren) : mametraka eo amin ny toerana marary 2x/andro,Mitsahara ary asio ranomandry raha mivonto ary ataovy madio ny tongotra,aretin-tongotra,manaintaina ny tongotro ary sarotra amiko ny mandeha mandritra ny andro marary mangirifiry fanaintainana tongotra lohalika ratsan-tongotra
tazo,Inona no atao raha ambony ny hafanan ny vatako ary mangovitra be aho mandritra ny 2 andro?,Paracétamol 500 mg : isaky ny 8 ora mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Asio lamba mando eo amin ny handrina ary misotroa rano,tazo,inona no atao raha ambony ny hafanan ny vatako ary mangovitra be aho mandritra ny andro
aretin-doha,Manaintaina ny lohako rehefa miasa mafy mandritra ny andro manontolo,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Métoclopramide : 3x/andro raha misy alahelo,Misotroa rano betsaka ary mila matory ampy 7-8 ora isan alina,aretin-doha,manaintaina ny lohako rehefa miasa mafy mandritra ny andro manontolo marary mangirifiry fanaintainana loha lohany
aretin-tratra,Inona no atao raha misy fanaintainana be ny tratrako ary very hery hatramin'ny herinandro?,Amoxicilline-Acide Clavulanique 875 mg : 2x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Asio menaka mafana ny tratra isan'andro,aretin-tratra,inona no atao raha misy fanaintainana be ny tratrako ary very hery hatramin'ny herinandro marary manaintaina mangirifiry tratra
areti-maso,Tsy mahita mazava aho noho ny masoko marary hatramin ny omaly inona ny tokony hatao?,Chloramphénicol collyre : 4x/andro mandritra ny 7 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Tazomy madio ny tananao ary aza mikasika ny maso raha tsy vita sasa tsara tanana,areti-maso,tsy mahita mazava aho noho ny masoko marary hatramin ny omaly inona ny tokony hatao maso masony manaintaina mangirifiry fanaintainana
areti-maso,Misy gratte eo amin ny masoko hatramin ny omaly,Collyre antibiotique : 4x/andro (maraina-atoandro-hariva-alina) mandritra ny 7 andro,Larmes artificielles : 2x/andro (maraina-hariva) mandritra ny 15 andro,Matoria tsara ary aza mijery finday sy solosaina lava,areti-maso,misy gratte eo amin ny masoko hatramin ny omaly maso masony
aretin-kibo,Inona no atao raha marary ny kiboko ary manotika mandritra ny andro manontolo?,Ranitidine 150 mg : 2x/andro (maraina-hariva),Dompéridone : 3x/andro alohan ny sakafo,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,inona no atao raha marary ny kiboko ary manotika mandritra ny andro manontolo manaintaina mangirifiry fanaintainana kibo kibony
aretin-doha,Misy tsindry eo amin ny lohako hatramin'ny maraina,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Aspirine 500 mg : raha ilaina,Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,misy tsindry eo amin ny lohako hatramin'ny maraina tosi-dra hypertension loha lohany
tazomoka,Voan ny tazomoka mahery aho ary misy aretin-doha be hatramin'ny 9 ora inona ny tokony hatao?,Artéméther injection : araka ny dokotera,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria ao anatin ny mostikera,tazomoka,voan ny tazomoka mahery aho ary misy aretin-doha aretin doha be hatramin'ny ora inona ny tokony hatao tazo avy amin ny kaikitry ny moka
aretin-tenda,Misy pharyngite mafy aho hatramin ny omaly,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro,Gargarisa rano mafana misy sira 3x isan andro,aretin-tenda,misy pharyngite mafy aho hatramin ny omaly
aretin-pivalanana,Mandrevo aho ary misy ranon-drano be hatramin ny omaly,Smecta : 3 sachets isan andro mandritra ny 3 andro,Smecta : 3 sachets isan andro,Aza mihinana voankazo manta,aretin-pivalanana,mandrevo aho ary misy ranon-drano ranon drano be hatramin ny omaly mivalanana mivalan-tay
fiakaran-ny-tosi-dra,Tosi-dra ambony ary tsy mahazo aina tsara mandritra ny 2 andro,Losartan 50 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Aza mihinana sakafo misy graise be ary manaova dieta,fiakaran-ny-tosi-dra,tosi-dra tosi dra ambony ary tsy mahazo aina tsara mandritra ny andro tsindry hypertension
aretin-urinaire,Pipi mena kely no mivoaka mandritra ny 2 andro,Nitrofurantoïne 100 mg : 2x/andro mandritra ny 7 andro,ORS : misotroa betsaka,Aza mihinana sakafo misy sukary,aretin-urinaire,pipi mena kely no mivoaka mandritra ny andro mamany mipipi
aretin-pivalanana,Inona no atao raha mandrevo mafy ary very hery be?,ORS : misotroa isaky ny mandrevo,Probiotiques : 1x/andro mandritra ny 7 andro,Mihinana vary fotsy sy akondro ary misotroa rano betsaka,aretin-pivalanana,inona no atao raha mandrevo mafy ary very hery be mivalanana mivalan-tay
aretin-doha,Marary ny lohako ary reraka be aho hatramin'ny maraina,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Misotroa rano betsaka ary mila matory ampy 7-8 ora isan alina,aretin-doha,marary ny lohako ary reraka be aho hatramin'ny maraina manaintaina mangirifiry fanaintainana loha lohany
aretin-urinaire,Matetika mankany amin ny toilette aho hatramin'ny 9 ora,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Aza manao firaisana ara nofo raha tsy sitrana tsara,aretin-urinaire,matetika mankany amin ny toilette aho hatramin'ny ora
aretin-tanana,Tanana marary ary tsy mahazo misasa mandritra ny 2 andro,Naproxène 500 mg : 2x/andro mandritra ny 5 andro,Vitamines B : 1x/andro (maraina),Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tanana,tanana marary ary tsy mahazo misasa mandritra ny andro tananako ankihibe ratsan-tanana manaintaina mangirifiry fanaintainana
aretin-pivalanana,Inona no atao raha misy diarrhée sy aretin-kibo aho?,ORS (Sels de réhydratation orale) : misotroa betsaka,Lopéramide : raha ilaina,Aza mihinana voankazo manta,aretin-pivalanana,inona no atao raha misy diarrhee sy aretin-kibo aretin kibo aho kibony kiboko
tazomoka,Misy tazomoka ary manaintaina ny vatako mandritra ny 2 andro,Artésunate 200 mg : 1x/andro mandritra ny 3 andro,Vitamine C 500 mg : 1x/andro,Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,misy tazomoka ary manaintaina ny vatako mandritra ny andro tazo avy amin ny kaikitry ny moka marary mangirifiry fanaintainana
